url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,3,3
/EOL/computer-vision-with-EOL-images/tree/master/classification_for_image_tagging/images,3,1
/EOL/computer-vision-with-EOL-images/blob/master/classification_for_image_tagging/images/classification_example.jpg,1,1
/EOL/computer-vision-with-EOL-images/blob/master/classification_for_image_tagging/images/fruit_prediction.jpg,1,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_tagging/images/human_present_tag_ex.jpg,1,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_tagging/images/lifestage_tag_ex.jpg,1,1
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/dinov3_demo.ipynb,1,1
/EOL/computer-vision-with-EOL-images/discussions,1,1
/EOL/computer-vision-with-EOL-images/tree/master/classification_for_image_tagging,1,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging,1,1
